,over_under_line,offensive_defensive_rank_diff,offensive_offensive_rank_dif,offense_defense_passing_completion,offense_rushing_vs_defense_rushing_allowed_yards,defense_offense_rank_dif,QB_rating,beat_spread,target_spread
634,43.0,-21,-19,-0.03678489702517174,0.9280800500312696,-1,83.9,0,3.0
635,44.0,-5,-3,-0.03979337730515553,1.11303900777585,-11,83.5,0,-8.5
636,48.5,-29,-27,-0.08420948616600799,1.1053858422279474,-25,67.6,1,9.5
637,51.5,-26,-24,-0.053329496148056384,1.1303325495465235,-29,83.4,0,11.5
638,48.0,-9,-7,-0.022793982755457742,1.370648321867834,-14,86.7,0,5.5
639,47.5,-30,-28,-0.03454489686373752,1.2542124542124542,-27,77.4,0,10.0
640,44.0,-2,0,0.08363636363636351,0.995850622406639,2,109.5,1,8.5
641,47.5,-2,0,0.08363636363636351,0.995850622406639,2,109.5,1,-10.0
642,49.0,-2,0,0.08363636363636351,0.995850622406639,2,109.5,1,-7.5
643,48.0,-2,0,0.08363636363636351,0.995850622406639,2,109.5,1,-5.5
644,51.5,-2,0,0.08363636363636351,0.995850622406639,2,109.5,1,-11.5
645,48.5,-2,0,0.08363636363636351,0.995850622406639,2,109.5,0,-9.5
646,43.0,-2,0,0.08363636363636351,0.995850622406639,2,109.5,1,-3.0
647,47.0,-2,0,0.08363636363636351,0.995850622406639,2,109.5,1,-7.5
648,49.0,-10,-8,0.03532608695652173,1.103379098489123,-7,93.9,0,7.5
649,47.0,-16,-14,0.07291951508522465,1.151951496779083,-15,95.5,0,7.5
650,40.0,-2,-15,-0.019046854942233682,0.8043360433604336,3,83.9,1,-1.0
651,45.0,-1,-14,0.06639516505621622,0.8858613381774145,-2,82.6,0,-3.5
652,38.0,-8,-21,-0.018287453457724867,0.905945419103314,-4,73.3,1,-4.0
653,47.5,-5,-18,-0.027755591054313026,0.9246031746031744,-18,79.5,0,-2.0
